tests with processor pinned:

32-bit DIGITs, AVX enabled.  Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz   3.41 GHz.  16 GB RAM
SpeedCheckBasicMultiply
        Striped:          65844
        Mult/add striped: 66947
Size: 25x64
        Basic:            126765
        Mult/add basic:   129766
        Striped:          68121
        Mult/add striped: 70227
Size: 26x64
        Basic:            127498
        Mult/add basic:   133392
        Striped:          76891
        Mult/add striped: 71960
Size: 27x64
        Basic:            132553
        Mult/add basic:   138038
        Striped:          72260
        Mult/add striped: 77123
Size: 28x64
        Basic:            137722
        Mult/add basic:   138230
        Striped:          65619
        Mult/add striped: 71719
Size: 29x64
        Basic:            120147
        Mult/add basic:   120591
        Striped:          72856
        Mult/add striped: 77344
Size: 30x64
        Basic:            123140
        Mult/add basic:   128048
        Striped:          75383
        Mult/add striped: 75445
Size: 31x64
        Basic:            126378
        Mult/add basic:   130158
        Striped:          75014
        Mult/add striped: 78206
Size: 32x64
        Basic:            132145
